ind_id,pop,STD_Length,Total_Length,Weight,inv11_pc1,inv11_pc2,inv18.1_pc1,inv18.1_pc2,inv18.2_pc1,inv18.2_pc2,inv18.3_pc1,inv18.3_pc2,inv24.1_pc1,inv24.1_pc2,inv11_gt,inv18.1_gt,inv18.2_gt,inv24.1_gt
D1Gen5_239,D1Gen5,49,57,1.13,-0.06670493789768124,0.004379498980187073,0.016548645639816385,0.004522873925701167,0.014674647788797523,-0.011095633425868818,0.008275669080632753,-0.016644779012509613,0.017943339460102015,-0.046216060873527635,NS,SS,SS,NN
D1Gen5_240,D1Gen5,36,43,0.41,0.027033800739539184,0.026376640001466868,0.029331972047799172,0.017899825878551847,0.014508309916886786,-0.020184518565154304,0.005956142877633386,-0.007150601501968336,0.017558003941922085,-0.035635794799687766,SS,SS,SS,NN
D1Gen5_242,D1Gen5,56,66,1.68,-0.0634765548733459,0.009156250916443108,0.019633361618551348,0.02079766520869023,0.015546337330360394,-0.030721789040643536,0.007253276533578664,-0.018749066402315044,0.017816033920222546,-0.0354098352333882,NS,SS,SS,NN
D1Gen5_243,D1Gen5,45,53,0.87,0.02672575670351978,0.03749015230792841,0.023902385560742707,0.03080701018360138,0.016667979350860194,-0.02185114633226322,0.009694275848674825,-0.021702292801668504,0.017795410654132197,-0.03794238236639292,SS,SS,SS,NN
D1Gen5_245,D1Gen5,49,56,1.1,-0.06335204687182587,0.00601643690882659,0.022505401165000986,-0.007707002894390908,0.019754480986799345,-0.021607975114180323,0.010095777403487511,-0.013300171984670714,0.018011149218311408,-0.03914447048853101,NS,SS,SS,NN
D1Gen5_247,D1Gen5,48,56,0.48,-0.06565530717111889,0.002120455840116025,0.019696921784875403,0.018709266696986512,0.015925061854579498,-0.020601251676878325,0.006153054100172426,-0.013098402113909806,0.01794653209090269,-0.042020109176743224,NS,SS,SS,NN
D1Gen5_249,D1Gen5,53,62,0.98,0.026090073155994473,0.033830302948272495,0.020117401954120415,0.005409290009328984,0.016163223857343367,-0.017709742276649128,0.01020341485608865,-0.012819000920226243,0.01724749914963623,-0.026514766158551743,SS,SS,SS,NN
D1Gen5_251,D1Gen5,49,57,0.64,0.025378865406271496,0.03131830281161301,0.03042138835949984,0.014368676902600078,0.01234390586750975,-0.02040815873942345,0.008621957846116605,-0.0168620810249581,0.01838563796211482,-0.05164320137570517,SS,SS,SS,NN
D1Gen5_252,D1Gen5,61,72,1.22,0.026103032911116236,0.03256794631843512,0.024920592193056555,0.02647890079043495,0.017570308545105263,-0.026183440808729804,0.008319140183875933,-0.020005975015626433,0.017816773957780228,-0.05043064479379716,SS,SS,SS,NN
D1Gen5_253,D1Gen5,53,62,0.81,0.027251668630765037,0.0359565677279133,0.02532576424486381,0.009979826514185889,0.01881794578921099,-0.025445943605138042,0.01154945898326342,-0.021790930738603602,0.017982342994763537,-0.04171183302578901,SS,SS,SS,NN
D1Gen5_255,D1Gen5,52,60.9,0.91,0.023384656619951392,0.03661905389584936,0.020296942851209584,0.0072838954189960075,0.01613321576469655,-0.014997691364093648,0.00613524648981668,-0.016897367162462967,0.01749317380186253,-0.03398611198681538,SS,SS,SS,NN
